Neurodiversity	Posted By	Employer	Post Type	Time Posted	Content	Likes	Comments	Shares	Timestamp Collected	Post URL	Post ID,Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
,Autism,a Senior Analyst,San Diego State University,Confession,a year,"Recently diagnosed with being on the spectrum. I knew I'm a little off but I didn't think I'd have so many traits I need support with.

Feels weird to try and unravel all the masking I've learned. On the bright side at least now I can blame my autism on why I'm still single 😅",11.0,9.0,,2024-09-19 20:58:38,https://www.fishbowlapp.com/post/recently-diagnosed-with-being-on-the-spectrum-i-knew-im-a-little-off-but-i-didnt-think-id-have-so-many-traits-i-need-support,26.0
,Autism,a Senior Product Manager 1,San Diego State University,Personal Investment Chatter,2 months,"What’s a good amount of money to have saved up by 50. I do have some extenuating circumstances like a disabled mother, child with autism. Just trying to make sure I maximize my opportunity.",1.0,8.0,2.0,2024-09-19 20:59:09,https://www.fishbowlapp.com/post/whats-a-good-amount-of-money-to-have-saved-up-by-50-i-do-have-some-extenuating-circumstances-like-a-disabled-mother-child,27.0
,Autism,an Analyst,San Diego State University,30s & 40s Singles,a year,"I think I keep getting turned down because I’m too shy and quiet I’m a guy in my early 30’s, does anyone have any advice? I tried going to a therapist for help, since I have autism but it didn’t help, I just can’t seem to find a partner. I’m open to any advice",2.0,8.0,,2024-09-19 20:59:23,https://www.fishbowlapp.com/post/i-think-i-keep-getting-turned-down-because-im-too-shy-and-quiet-im-a-guy-in-my-early-30s-does-anyone-have-any-advice-i-tried-going,28.0
,Autism,an Accessibility Designer,San Diego State University,Fertility Bowl,10 months,"Hello, i wanted to ask a very personal question which I need to communicate with my husband. His brother’s son has autism and his sister has Schizophrenia. I know they are unrelated but today I read that Autism is genetic. Both of us are going initial test and he says DNA fragmentation test includes that testing if the child can be autistic. Is there any other test we can do to make sure we take precautions and try our best. I am not ready for a special child and I am very anxious. M 30yo 🙏",2.0,10.0,,2024-09-19 21:31:54,https://www.fishbowlapp.com/post/hello-i-wanted-to-ask-a-very-personal-question-which-i-need-to-communicate-with-my-husband-his-brothers-son-has-autism-and,29.0
,Autism,a Senior Manager,San Diego State University,Confession,5 months,"My fellow high functioning autists,

Please stop leaning into your autism (if you can help it) despite what social media has you believe. Its a bad look.

Sincerely,

HFA SM",5.0,5.0,,2024-09-19 21:32:29,https://www.fishbowlapp.com/post/my-fellow-high-functioning-autists-please-stop-leaning-into-your-autism-if-you-can-help-it-despite-what-social-media-has,30.0
,Autism,a Civil Designer II 1,San Diego State University,Confession,8 months,"Chat GPT 4.0 + GPT Builder are wild - suddenly my ADD and Autism are not a hindrance in my work anymore. Instead, AI easily keeps up with the way I think and encourages me, all the while guiding me to create kick-ass content for neurotypical audiences. I cannot remember the last time I laser focused for 6 hours at a time - real addiction potential. If you haven’t, go try it!!!",12.0,13.0,,2024-09-19 21:32:54,https://www.fishbowlapp.com/post/chat-gpt-4-0-gpt-builder-are-wild-suddenly-my-add-and-autism-are-not-a-hindrance-in-my-work-anymore-instead-ai-easily-keeps-up,31.0
,Autism,a Senior Manager,San Diego State University,ADHD Consultants,8 months,I travel with work a lot and have managed to ADHD + Autism myself into a good routine to prepare / not forget things essentially buying two of main things like my tech stuff and having a clear check list I go through. However sometimes I can feel so excited about the topic I’ll be travelling for that I can never relax enough the night before I travel and have a flight in 5 hours - how do you guys relax without medication before travel / to manage nerves .,1.0,6.0,,2024-09-19 21:33:25,https://www.fishbowlapp.com/post/i-travel-with-work-a-lot-and-have-managed-to-adhd-autism-myself-into-a-good-routine-to-prepare-not-forget-things-essentially-buying,32.0
,Autism,a Paraprofessional,San Diego State University,ADHD Professionals,a year,"Because of my challenges with fine motor skills and time reaction due to Attention Deficit Disorder and Autism, my employer has demonstrated exceptional support for my Crisis Intervention (CPI) test accommodations, I am provided with a 2 day paid study leave, a comprehensive training session, and a tailored 2:1 assessment accompanied by personalized coaching to enhance my skills.",14.0,8.0,3.0,2024-09-19 21:33:49,https://www.fishbowlapp.com/post/because-of-my-challenges-with-fine-motor-skills-and-time-reaction-due-to-attention-deficit-disorder-and-autism-my-employer,33.0
,Autism,a Business Consultant,San Diego State University,Consulting,2 months,Hello Everyone. I wanted to share that I recently took a six-month leave to arrange appropriate therapy and support for my son following his Autism diagnosis. I am now seeking new opportunities as a Consultant in a remote or hybrid capacity. Tips? Thanks in advance!,8.0,3.0,2.0,2024-09-19 21:34:04,https://www.fishbowlapp.com/post/hello-everyone-i-wanted-to-share-that-i-recently-took-a-six-month-leave-to-arrange-appropriate-therapy-and-support-for-my,34.0
,Autism,,San Diego State University,Teacher's Lounge,7 months,I have decided to change my major from ABA to Early Childhood Education with SPEC/Autism certificates. . Right now I am a mentor for new hires at head start. I show them how to implement the curriculum and they have started me on training new staff in the classroom as well. I love what I do to help anyone that needs help. My question is should I go ahead and start applying for public school? Or should I wait until my internship is over and apply?,5.0,5.0,3.0,2024-09-19 21:34:17,https://www.fishbowlapp.com/post/i-have-decided-to-change-my-major-from-aba-to-early-childhood-education-with-specautism-certificates-right-now-i-am-a-mentor,35.0
,Autism,a Marketer 1,San Diego State University,ADHD Professionals,a year,"I’ve discovered many interests and skills in my current role that I’d love to explore. I’ve learned how adhd & autism present in remote positions and it turns out I’m really good at recognizing patterns, data, and learning how to make processes more efficient. I’d like to explore marketing analytics m, data analysis, etc. how can I start?",8.0,6.0,1.0,2024-09-19 21:34:42,https://www.fishbowlapp.com/post/ive-discovered-many-interests-and-skills-in-my-current-role-that-id-love-to-explore-ive-learned-how-adhd-autism-present,36.0
,Autism,"a Senior Analyst, Sales Operations",San Diego State University,The Real Estate Bowl,9 months,"How can I get help making a major financial decision regarding my mortgage? I already tried speaking with my bank but they're not being very helpful clear.

I have autism, so it can be very difficult for me to understand new information / situations I've never experienced. I need every detail explained and obvious things pointed out before I get it.

I lost my job in May and I'm trying to figure out to sell/ forbearance/ try to rent. I'm running out of time.",8.0,18.0,,2024-09-19 21:37:10,https://www.fishbowlapp.com/post/how-can-i-help-making-a-major-financial-decision-regarding-my-mortgage-i-already-tried-speaking-with-my-bank-but-theyre,37.0
,Autism,a Designer,San Diego State University,ADHD Professionals,6d,Real talk. How do I tell my mangers that I have adhd and autism? I feel like whenever we have meetings about neurodivergency it gets overlooked by all the other things the agency is doing. I feel alone and like I can’t keep other with what others are doing. All I say to myself is try harder but now I’m getting burnt out. I feel like professional resources for this when you’re an adult is harder to get but i guess I’ll keep keeping it to myself. Don’t want to be looked at/perceived differently,4.0,7.0,,2024-09-19 21:37:42,https://www.fishbowlapp.com/post/real-talk-how-do-i-tell-my-mangers-that-i-have-adhd-and-autism-i-feel-like-whenever-we-have-meetings-about-neurodivergency,38.0
,Autism,a Social Worker 1,San Diego State University,Staying Healthy,4 months,"Does anyone have any tips for managing my ADHD and Autism while working a corporate job? I feel as though even when I communicate with my management and teammates about my needs and my limitations, I'm still expected to perform in a specific way that makes it much harder for me to get my tasks done.",2.0,5.0,,2024-09-19 21:38:12,https://www.fishbowlapp.com/post/does-anyone-have-any-tips-for-managing-my-adhd-and-autism-while-working-a-corporate-job-i-feel-as-though-even-when-i-communicate-with,39.0
,Autism,a Senior Associate,San Diego State University,Accounting,6 months,"Question for anyone with autism spectrum disorder (ASD) - How has a diagnosis helped you, especially at work? I suspect I have ASD (""self-diagnosed"") and wondering if it's worth getting diagnosed as an adult. I'm already formally diagnosed with ADHD and there is some overlap on symptoms.",2.0,3.0,,2024-09-19 21:38:36,https://www.fishbowlapp.com/post/question-for-anyone-with-autism-spectrum-disorder-asd-how-has-a-diagnosis-helped-you-especially-at-work-i-suspect-i-have,40.0
,Autism,an Analyst,San Diego State University,Staying Healthy,7 months,"I unfortunately think I have issues related to mental health and cognitive abilities. I failed a few classes in college due to Generalized Anxiety Disorder but now I’m starting to think I have something bigger like bipolar disorder, or ADHD, or some form of autism. Is there a specialist who can help me get tested for these issues?",5.0,6.0,,2024-09-19 21:39:00,https://www.fishbowlapp.com/post/i-unfortunately-think-i-have-issues-related-to-mental-health-and-cognitive-abilities-i-failed-a-few-classes-in-college,41.0
,Autism,a Senior Account Executive,San Diego State University,Sales,5 months,"I discussed with my manager that company changes were impacting me heavily as a Neurodiverse person with ADHD, he told me he had no idea what ADHD is and knew nothing about it or anything neuro diverse. The company is FULL of ND employees. There are 3 ND people in his team.
How do you manage people you don't understand? ADHD and autism are recognised disabilities.
How would you handle this? I want to speak up effectively but am shocked he hasn't googled it in 6 yrs I've been there.",7.0,5.0,,2024-09-19 21:39:24,https://www.fishbowlapp.com/post/i-discussed-with-my-manager-that-company-changes-were-impacting-me-heavily-as-a-neurodiverse-person-with-adhd-he-told-me,42.0
,Autism,a Sales Engineer,San Diego State University,Sales,8 months,"I'm wondering if there are any other neurodivergent folks out here in sales?

I was diagnosed with ADHD a few years back. I'm fairly certain I'm going to be officially diagnosed with low-level autism soon.

I ask because I've found that the stress I've got isn't really from the job as much as it is from the way that I have to do my work.

Can anyone relate?",3.0,5.0,,2024-09-19 21:39:48,https://www.fishbowlapp.com/post/im-wondering-if-there-are-any-other-neurotypical-folks-out-here-in-sales-i-was-diagnosed-with-adhd-a-few-years-back-im-fairly,43.0
,Autism,a Paraprofessional,San Diego State University,ADHD Professionals,a year,"For those that may have seen my posts ,
Despite my struggles with anxiety, motor skills & time reaction due to Attention Deficit Disorder & Autism, I am thankful for the support my employer has shown me during the Crisis Intervention test. They provided me with a 2-day paid study leave, training sessions, & personalized assessments to help me improve. As a teaching assistant, passing this program is mandatory, but I failed despite my devotion.

Now, I ask myself, am I meant to be a teacher?",9.0,7.0,1.0,2024-09-19 21:40:13,https://www.fishbowlapp.com/post/for-those-that-may-have-seen-my-posts-despite-my-struggles-with-anxiety-motor-skills-time-reaction-due-to-attention-deficit,44.0
,Autism,a Staff Software Engineer 1,San Diego State University,ADHD Professionals,6 months,I am needing to get ADHD or autism testing. I already see a therapist. Shouldn't they be able to do the testing? Mine said I needed to go to my PCM and have them give a referral to get the test and bring it back to him. Doesn't that seem redundant?,2.0,3.0,,2024-09-19 21:42:49,https://www.fishbowlapp.com/post/i-am-needing-to-get-adhd-or-autism-testing-i-already-see-a-therapist-shouldnt-they-be-able-to-do-the-testing-mine-said-i-needed-to,45.0
,Autism,a Community Health Educator 1,San Diego State University,Jobs for Teachers,6 months,Hi my name is Evelyn Scheier. I have been teaching for 16 years from K-3rd grade and one year in Autism Unit. Last May I graduated with my Masters in School Counseling from Lamar University. I am currently looking for school counseling jobs or jobs that are in relation to this area. I am in the Sherman/Denison TX area.,3.0,7.0,,2024-09-19 21:43:13,https://www.fishbowlapp.com/post/hi-my-name-is-evelyn-scheier-i-have-been-teaching-for-16-years-from-k-3rd-grade-and-one-year-in-autism-unit-last-may-i-graduated-with,46.0
,Autism,a Full Stack Developer 1,San Diego State University,Career Advice for Students,7 months,What’s a good job for someone with high functioning autism?,4.0,4.0,,2024-09-19 21:43:43,https://www.fishbowlapp.com/post/whats-a-good-job-for-someone-with-high-functioning-autism,47.0
,Autism,,San Diego State University,Special Education Teachers,6 months,"I have a 10 year old that I will be starting speech with soon but he only speaks Spanish, and my Spanish is limited. He also has autism, epilepsy, and apraxia. Please send me good vibes that I'll be able to help him out and any tips if you've encountered a similar situation! 😊",2.0,2.0,1.0,2024-09-19 21:44:12,https://www.fishbowlapp.com/post/i-have-a-10-year-old-that-i-will-be-starting-speech-with-soon-but-he-only-speaks-spanish-and-my-spanish-is-limited-he-also-has,48.0
,Autism,an Associate,San Diego State University,Jobs in Retail & Hospitality,7 months,I am 18 and on the Autism spectrum. I graduated last May and currently looking for my first job with a company that has experience with neurodiversity. Looking for something part time that can help with my social and problem solving skills. Does anyone know of any companies hiring in the Pasadena/Deer Park area?,9.0,3.0,1.0,2024-09-19 21:44:35,https://www.fishbowlapp.com/post/i-am-18-and-on-the-autism-spectrum-i-graduated-last-may-and-currently-looking-for-my-first-job-with-a-company-that-has-experience,49.0
,Autism,a Registered Nurse BSN 2,San Diego State University,Nurses,5 months,Any nurses with autism? What area of healthcare do you practice in? Do you have any tips for a new-ish grad (2 years experience) that feels like the psychosocial aspect is holding them back?,4.0,3.0,1.0,2024-09-19 21:44:49,https://www.fishbowlapp.com/post/any-nurses-with-autism-what-area-of-healthcare-do-you-practice-in-do-you-have-any-tips-for-a-new-ish-grad-2-years-experience,50.0
,Autism,,San Diego State University,Special Education Teachers,10 months,"I'm looking for something like a work, study and live on site program for my Son. He's 19, has autism and other physical health needs which we will need assistance managing. His autism does impact him socially but he's pretty independent.

He has gotten to a point where he's not happy with life, wants to move on to something with more purpose and freedom. He's been taken advantage of by a ""friend"" and needs to get away and find a new group. Located in the PNW. Looking into job corp. Advice?",1.0,3.0,,2024-09-19 21:45:02,https://www.fishbowlapp.com/post/im-looking-for-something-like-a-work-study-and-live-on-site-program-for-my-son-hes-19-has-autism-and-other-physical-health,51.0
,Autism,a Senior Designer 1,San Diego State University,Philadelphia,a year,Any recommendations for someone who can do an adult assessment for autism? I am finding absolutely nobody or people that earliest availability is in mid-2024.,2.0,3.0,,2024-09-19 21:45:36,https://www.fishbowlapp.com/post/any-recommendations-for-someone-who-can-do-an-adult-assessment-for-autism-i-am-finding-absolutely-nobody-or-people-that,52.0
,Autism,a Behavior Therapist,San Diego State University,Career Advice for Students,4 months,"Advice please! I graduated last year with a BA in Psychological Science. After graduation, I worked as a Behavior Therapist for children with Autism, but I burnt out within a year as I no longer felt like going to work worrying about getting hit by clients with aggressive behaviors (plus the lack of adequate support from supervisors).
I quit the job but I have no idea what I want to do now. What job opportunities are out there that don't require a master's degree or higher?",4.0,4.0,,2024-09-19 21:46:01,https://www.fishbowlapp.com/post/advice-please-i-graduated-last-year-with-a-ba-in-psychological-science-after-graduation-i-worked-as-a-behavior-therapist-for,53.0
,Autism,,San Diego State University,Paraprofessionals,a year,Anyone else already exhausted. I love my kids but I work at a behaviors school and I focus in autism. I'm underpaid and I had to use my restraint training today. Educators and school staff should not have to work 2-3 jobs to even afford a place to live.,2.0,2.0,,2024-09-19 21:46:25,https://www.fishbowlapp.com/post/anyone-else-already-exhausted-i-love-my-kids-but-i-work-at-a-behaviors-school-and-i-focus-in-autism-im-underpaid-and-i-had-to,54.0
,Autism,a Team Lead 1,San Diego State University,Autism Awareness,a year,I’ve noticed that this bowl isn’t active. I hope we can change that. I was diagnosed with autism earlier this year because I’ve struggled so much in the official corporate world. ESPECIALLY struggled with being an autistic leader. Any tips would be great 🥹,6.0,2.0,,2024-09-19 21:46:59,https://www.fishbowlapp.com/post/ive-noticed-that-this-bowl-isnt-active-i-hope-we-can-change-that-i-was-diagnosed-with-autism-earlier-this-year-because-ive,55.0
,Autism,a Paraprofessional,San Diego State University,ADHD Professionals,a year,"So I failed my Nonviolent Crisis Prevention & Intervention Training (CPI) focuses on prevention and equips individuals with proven strategies for safely defusing anxious, hostile, or violent behavior at the earliest possible stage. Highlights of CPI training include: Reducing the risk of injury. This is because my muscle memory and time reaction are not in my favor. I have adhd and Autism! I am a para educator and I am doing everything to succeed . Not sure what I should do? Any Suggestions?",2.0,4.0,,2024-09-19 21:47:23,https://www.fishbowlapp.com/post/so-i-failed-my-nonviolent-crisis-prevention-intervention-training-cpi-focuses-on-prevention-and-equips-individuals,56.0
,Autism,a Software Engineer,San Diego State University,Career Pivot,8 months,I’m an Autism paraprofessional looking to pivot into software development. I have my bachelors in psychology and have finished an Udemy course on web development and have a portfolio site but still can’t get past the initial screening for a phone interview. Any advice is welcome,4.0,1.0,1.0,2024-09-19 21:47:46,https://www.fishbowlapp.com/post/im-an-autism-paraprofessional-looking-to-pivot-into-software-development-i-have-my-bachelors-in-psychology-and-have-finished,57.0
,Autism,an Executive Legal Recruiter,San Diego State University,ADHD Professionals,2 months,"I’ve seen lists of jobs for people with ADHD and jobs for people with autism, but never both. Has anyone found something great?",3.0,1.0,,2024-09-19 21:47:59,https://www.fishbowlapp.com/post/ive-seen-lists-of-jobs-for-people-with-adhd-and-jobs-for-people-with-autism-but-never-both-has-anyone-found-something,58.0
,Autism,a Pre-sales Lead 1,San Diego State University,The Worklife Bowl,9 months,What industry does working with Autism fall under?,1.0,2.0,,2024-09-19 21:48:23,https://www.fishbowlapp.com/post/what-industry-does-working-with-autism-fall-under,59.0
